"latlon",name
55.59708237.634481,Церковь
55.5971837.519059,Граффити
55.59721837.551442,"Лесной Детский Домик"
55.59763237.512699,Нептун
55.59796437.528717,"Russian Orthodox Church"
55.59811937.559878,Ворота
55.59818537.613559,"Graffiti Lego"
55.59829637.540176,"Военным морякам. 1998г."
55.59833837.60584,"Граффити на Россошанском пр-де"
55.5985537.677575,Birds
55.59898637.608432,"С Днём Победы"
55.59949837.532918,"Граффити — VK"
55.59965137.511123,Wasp
55.59988637.595583,"Duck and Crocodile Graffiti on Wall"
55.59998437.716336,"Граффити "Бабочки""
55.6002137.658183,"Парк Дружба"
55.60055337.587329,Графити
55.60060137.512468,"Бабочка Цветочки"
55.60062137.721354,"Крыши Домов"
55.60064437.584134,Паравозик
55.60083337.723755,Ржавичев
55.60085737.621938,"Чертаново Южное"
55.60098337.595403,"полная семья "
55.60099137.509676,Часы
55.6011337.736477,"Auto Painting"
55.60116637.528413,"Детский городок"
55.60129937.482556,"Корабельная Пушка"
55.60131137.547827,"Гаражное Граффити - Ясенево"
55.60134137.59383,"Избушка на курьих ножках"
55.60137537.716337,"Хрюшка с флейтой"
55.60152737.551946,"Cemetery Stantsiya"
55.60174237.662822,"Мельница Начало Бирюлево"
55.60189437.666788,"Граффити Бородино"
55.60191337.666068,Телега
55.6019937.58175,"Кораблик 14-6"
55.60215237.667723,"Mini Car"
55.6028337.554458,Кепка
55.60285237.52052,"Детский Городок"
55.60335337.493241,Автобус
55.60360537.545192,"Рубежи 1941-го (Ясенево)"
55.60365537.510841,Ясенево
55.60405137.711513,Зайка
55.60410237.543152,"Цветочный узор"
55.60413437.555609,"Info Board"
55.60416537.521559,"Почта России "
55.60425437.713038,Бабочки
55.60444937.491937,"Ресторанный дворик МЕГА Тёплый Стан"
55.60451237.616659,Фонтан
55.60468537.553125,Паутинка
55.60469637.585421,Библиотека
55.60477437.590765,Hizhina
55.6047837.626565,Беседка
55.60482237.536623,"Дворец Содружество Игровых Видов Спорта"
55.60488737.578025,"Graffiti Box"
55.60507937.712736,Белград
55.60508337.737916,"Blue Leon"
55.6051437.488434,MEXX
55.60521637.747911,"Winnie the Pooh"
55.60530737.589604,"Чертаново Южное"
55.60560437.741191,Pirates
55.60561737.545767,"Детская Площадка"
55.60605137.667385,"Фонтан На Бензе"
55.60626637.60881,"Чертаново Южное"
55.60637637.614798,Почта
55.60649137.603994,Булыжник
55.60651937.744272,"Храм На Ясеневой"
55.60655537.533095,"Материнская душа"
55.60656737.681064,"Small Melnitsya"
55.60674737.732744,"Досуговый Клуб"
55.60689937.701534,"Муниципалитет Орехово-Борисово Южное"
55.60693537.624233,"Стелла Чертаново Южное"
55.60723337.577459,"Тор-шар чешского торгового тех"
55.60733637.568816,"Мостик в лес"
55.60776337.666864,Мельницо
55.60778937.708093,"Graffiti   "
55.60787637.569921,"HBD RUSA"
55.60798637.736249,Детская
55.60818837.618432,Танк
55.60820637.551221,Windmill
55.60833337.696666,Пушка
55.60836837.541202,"Памятник Соломатину"
55.60852937.514376,"Graffiti Houses"
55.60886737.712077,"Hedgehog in the Forest Graffiti"
55.60888637.719639,"Взрыв памяти. Участникам Велик"
55.60900237.756533,Горка
55.6090837.722512,Мишки
55.60909837.527079,"Горка гриль "
55.6096137.697158,"Шипиловские Ворота"
55.609737.6095,Sign
55.60986637.601269,"Детский Игровой Комплекс"
55.60995137.584257,"Зайко с морковкой"
55.61004237.759032,Электропоезд
55.61024137.672489,"Орел 11"
55.61024337.519116,"Природная Будка"
55.61026837.545775,"Hexagonal Dome"
55.61029537.699532,Gorka
55.61052937.744124,"Welcome To South Park"
55.61063337.687975,Мосток
55.61069537.758487,"Горочка уерочка"
55.61075837.547497,"Городок На Рокотова"
55.61076937.732587,"Ледовый Дворец В Зябликово"
55.610837.68162,Башня
55.61084237.720582,Карета
55.61113137.555558,"Желтый Полосатик"
55.6111837.74489,"Metro Station Zyablikovo"
55.61129837.599052,"Me and You"
55.6113237.467758,Герб
55.61145337.55251,"Соловьиный Пруд"
55.61153437.555994,Маяк
55.61155537.719703,"Урюк кафе домодедовская"
55.61184137.602475,"Памятник космической дружбе"
55.61187837.607333,"Фонтан В ТЦ Colambus"
55.6118937.662249,Melnitsa
55.61211937.761098,Smolenskaya
55.61212737.487324,"Часовня На Рынке"
55.61246237.59297,"Аисты на Красного Маяка"
55.61246537.7202,"Галерея Водолей"
55.61249637.784977,"Слава Павшим Героям"
55.61273937.730177,"Орехово- Борисово"
55.61277337.605275,"Тц Columbus"
55.61281437.536301,Синее
55.6129737.53821,"Площадь Ле Зуана"
55.61305637.591363,"Часы на Красном Маяке"
55.61364137.699557,Красота
55.61370937.746708,"Метро Красногвардейская"
55.61382237.693359,"Метро Орехово южный выход"
55.61401337.790456,Храм
55.61408737.545814,Родник
55.61412837.493652,"Зеленый Язык"
55.61427737.680841,"Виноградные Ворота"
55.61433837.578032,"Agent Traning Point"
55.61445437.709978,"Detskaya ploshadka"
55.61445537.538446,"Граффити "Церковь На Природе""
55.61447337.471607,"Спорт городок"
55.61453937.572405,"Кормушка В Битце "
55.61461937.721144,"Room Cafe"
55.6146637.693608,"Автостанция Орехово"
55.61485437.680654,"Old Building"
55.61501137.707199,"Библиотека Гармония"
55.61512437.491949,"Добропилящая Добросова Добра"
55.61518937.475936,Церковь
55.61527237.539947,"Покров Божьей Матери"
55.6154237.616644,"Ицо МТС"
55.61542637.491917,"Перспектива И Талант"
55.61589237.689701,"1 Оранжерея"
55.61590537.583586,"Деревянная церквушка"
55.61607137.735496,"Граффити "
55.61622237.604792,"Pak 43"
55.61632337.510615,"Bus Station "Теплый Стан""
55.61636137.722202,"Крылатый Кролик"
55.61694237.681195,"Храм Иконы Божей Матери"
55.61695437.60584,Birds
55.61707237.592458,"Неоновые аисты"
55.61716837.744191,"White Tower"
55.61722737.598288,котяка-бояка
55.61726637.763447,"Вера Надежда Любовь"
55.61728837.67705,Фонтан
55.61791437.606243,Голубки
55.61799337.668189,"Railroad Station Tsaritsyno"
55.61801937.764373,Буран
55.61809637.673512,"южный павильон в Царицыно"
55.61813337.50927,"Корову Распяли"
55.61845537.497032,Домики
55.61861837.472695,"В Честь 200 Летия Ф. Тютчев"
55.61871337.59311,"Post Office  117525"
55.61874437.65763,"Цветочная Клумба"
55.61886237.661752,"Граффити "
55.61918637.703869,"Angry Birds"
55.61925637.505797,Фонтан-орёл
55.61926537.685371,"Статуя Дмитрию Кантемиру В Царицино"
55.61938237.54358,Лебеди
55.61938937.539726,"Детский Домик"
55.61956637.507259,"М Т С"
55.61968237.591054,"Будка Море"
55.61977437.508113,"ТЦ Спектр"
55.61984737.487527,"Логово Строителей"
55.62019937.757203,"Памятник Особого Риска"
55.62023837.670546,"Metro Tsaritsyno"
55.62026237.59117,Каньон
55.62026837.76065,"Грустный Пёсик"
55.62037237.723073,"Чел в бейсболке"
55.62045537.699366,"70 лет. Победа"
55.6205937.494921,Овечка
55.62063137.729809,"Граффити Восход Солнца"
55.62072537.737694,"Граф Железяка"
55.62092637.713586,"Тц Капитолий"
55.62102737.607899,"Москва герб Чертаново"
55.62105737.596368,"Pink Dream"
55.62109437.751805,Пушка
55.621437.540998,"Памятник Жителям Узкого"
55.6214737.613379,"Врата уныния"
55.62151237.494174,"Графити Цветы"
55.62162137.536673,"Казанская В Узком"
55.62166837.727508,Зябликово
55.62175537.613419,"Течёт водичка"
55.62186437.596122,"Чертановский кремль"
55.62212837.641728,"Резной Крест На Безымянной Могиле"
55.62213237.742349,"Метро Шипиловская"
55.6221537.657419,Клумба
55.62217237.697173,"Owls Bench"
55.62226937.577658,"памятник спортивной нации "
55.62228337.735765,"Кувшин у Арианы"
55.62230637.757872,"Граффити имени Шредера"
55.62245937.750491,Фонтан
55.62251737.668833,"Underground Art"
55.62259837.502838,"Граффити "Теплый Стан""
55.62278837.50216,"Фонтан Лев"
55.62314437.655186,"Graffiti Sevanskaya"
55.62350937.717205,"Colourful Graffiti"
55.62353337.594832,"Chertanovo Central Sign"
55.62357737.604568,"Я Люблю Москву"
55.62360937.705313,"Железная Леди"
55.62403337.490139,"Painted Scrapyard"
55.6240637.710031,"Золотая Звезда Маршалу Захарову"
55.62408637.533296,"Замшелый Колодец"
55.62409537.646119,Церквушка
55.62416637.754166,"200 лет победы 1812 г."
55.6243237.712061,"Orekhovo-Borisovo North"
55.62448837.514505,"Paleontology Museum of Moscow"
55.62455837.697066,"Детский замок"
55.62466937.661701,"Smile "
55.62471437.838344,Kapella
55.6251337.737883,"Петух и цЫплята"
55.62531837.61922,"Мозаика на стене"
55.6254137.490549,"Anastassia Church"
55.62573537.600595,Паровозик
55.62585137.649553,"Паровоз В Начальной Стадии Сборки"
55.62594337.637405,"Электрокар "
55.62608837.802832,"Вечная Слава"
55.62636937.725025,Конкорд
55.62642737.697173,"Беседка "
55.62661437.609158,"Рубежи 1941-го (Место гибели с"
55.62670637.520792,Машина
55.62701237.614388,"Лебедь В Гнезде"
55.6274537.726979,"Голубятня на Борисовских прудах"
55.62746637.589086,"Пиратский Корабль На Площадке"
55.62747637.711533,"Храм Живоначальной Троицы"
55.62754837.590042,"вход в Апгрейд "
55.62755437.673745,Игрули
55.62760437.673273,Мельница
55.62760937.658839,"1941-1945 Monument"
55.6276437.668918,"Шедевр Детский"
55.62773637.484394,Вертолёт-кар
55.62781237.445824,Ежи
55.62782337.751591,"The Sun of Biter Name"
55.62800237.718175,"Детская Площадка"
55.62806537.480525,"Four Towers"
55.62872937.5144,"Теплый Стан"
55.62874437.611208,"Детская площадка 8"
55.62882537.60771,"Children Castle"
55.62885137.521197,"Steel Flower 2"
55.62897837.484306,"Junkie foxie graffiti"
55.62939137.477565,"Каменный Фонтан"
55.62939437.660894,Часовня
55.62941937.52127,Loshad
55.62958537.716131,Butterfly
55.62959837.748051,Самолетик
55.62961437.597759,Travmpunkt
55.62961537.660823,"Крест На Холме"
55.62995337.677312,ДивоДева
55.63032537.76567,"Площадка для собак"
55.63055337.481173,"Countryside Bird"
55.63055537.741676,"Памятник Мусе Джалилю"
55.63067437.591425,"Доска Исторического Парка"
55.63075237.508817,"Porch Grass"
55.63082837.754321,"Братеевский Цирк"
55.63107637.598438,"Звёздная Площадка "
55.6311937.729728,"Cyber Fox"
55.63162837.618494,"Varshavka Sky"
55.63168237.521724,Aquarium
55.6316937.765266,"Церковь в Братеево"
55.63177137.508057,"Box Mural"
55.6319337.736416,"Парк Борисово"
55.63194137.706019,"Бухай Беседка"
55.6319837.74504,"Детская Площадка"
55.63219837.74927,Хорда
55.6322637.756312,"Russian VMF Ship"
55.63230737.622028,"Парк Чудес"
55.63243437.519897,"Рисунки 3"
55.63254637.610849,Библиотека
55.63260237.504745,Родник
55.6329137.478975,"Полосатая Рыбка"
55.63298637.741652,Horse
55.63299637.520713,"Sea Life"
55.63315737.538979,Храм
55.63318937.674287,"Забавное Граффити"
55.63333437.742124,"Цапля Memorial"
55.6336737.699814,"Добро Пожаловать"
55.63369737.542738,"Биц Лес"
55.63385137.521912,"Мальчик В Кепке"
55.63392237.47265,Паровозик
55.63392837.439752,"Избушка Баба Яги"
55.63399537.742478,Барашек
55.63423937.764899,Караплег
55.63426137.610767,"Unusual Mill, Cart and Well for Liliputians"
55.63438337.530618,Сиеста
55.63446837.441362,"Девочка С Зонтиком"
55.63447737.511717,"Настоящие Цветы Жизни"
55.63451537.487451,Часы
55.63456837.488615,"Troparevo Park Entrance Arch"
55.6345837.593487,"Музей Боевой Славы 51-ой Армии"
55.63485337.81188,Истребитель
55.63487937.657744,"Kantemirovskaya Subway Station"
55.63490537.610504,"Rainbow Building Graffiti"
55.63499737.603111,"Храм Иконы Божией Матери "Державная" В Чертаново"
55.63503537.731042,"Братеевский Гусь"
55.63538637.79324,Fountain
55.63544737.516496,"память павшим в ВОВ"
55.6354937.533865,Ship
55.63551837.760238,"Аист На Алма-Атинской"
55.63554237.436304,Танцующая
55.63567537.522067,Kon'kovo
55.63578437.538537,Кораблик
55.63580537.71157,"Globus Cafe"
55.63600537.700791,"Ремонт Авто"
55.63623837.735294,АртБудко
55.63624437.753018,Цветочек
55.6364337.558641,"Водонапорная Башня"
55.63645137.680333,"Ну, Погоди! Спорт"
55.63650237.670854,Детскаяплощадка
55.63667737.541697,Рыба-шар
55.63674737.549299,WiFi
55.63693437.801831,"Детская Площадка"
55.63712837.661535,"Будка В Графити"
55.6373537.680382,Бабочка
55.63736837.654455,"Царицыно "
55.63757437.84186,Баян
55.63758137.722085,"Стальной глобус в Братеевском парке"
55.63760137.41842,Башня
55.6376737.510777,"Дядя Фёдор Пишет Завещание "
55.63780537.796235,"Памятник Погибшим В Войне"
55.63782837.748982,Якорь
55.63790937.496189,Кормушка
55.63793737.602472,Беседка
55.63797837.492368,"Boxers Graffiti"
55.63808737.595997,Совушка
55.63816637.770959,"Child Cool"
55.63822537.519066,"Храм Святой Троицы в Коньково"
55.63830737.597276,"Граффити Город"
55.63841137.493921,"Сцена И Амфитеатр"
55.63841737.504936,"Бегущий Человек "
55.63842237.844085,"Источник Воды"
55.63859137.655366,"Муниципальный знак"
55.63880237.564357,"Птичий ресторан"
55.63881937.772756,"Графити Девушка"
55.63885237.695334,"Граффити в Сабурово"
55.6390637.748468,"Кораблик На Мосту"
55.63980537.699864,"St. Nicholas Church"
55.63988937.610713,"Граффити Победа"
55.63991937.607914,"Railways Station Chertanovskaya"
55.64017237.758676,Kluchevoy
55.64022637.620727,Аэробус
55.64046437.474459,"Children in the Garden"
55.64048737.537923,Конь
55.64058137.692559,"Khokhloma Painting Mural"
55.64063437.673571,"Graffity Dllaf"
55.64064237.798163,"Children Playground"
55.64072937.544525,"Золотая Рыбка"
55.64093137.663216,Лягушонок
55.64137.689966,"Станция Москворечье"
55.64134937.535135,"Граффити Дисней"
55.6414837.762015,"Грибы И Солнце День Чудесный"
55.64156637.406251,Остров
55.6416437.526019,Беляево
55.64179437.59381,Fortress
55.64190837.602303,Зюзино
55.64194337.706343,Граффити
55.64203937.797801,"Вечная Память"
55.64212437.477126,"Post Office #117513"
55.64221637.618509,"Ресторан Камелот"
55.64227437.529889,"Tom and Jerry"
55.64235337.524529,Пивоварня
55.64240937.663308,Горка
55.64243837.582851,"Витраж Конь 13"
55.64243937.539565,"Белые тигры"
55.64245237.505395,"Храм Университета МВД"
55.64254637.541508,"Russian Post Exchange"
55.64261437.542107,Свин
55.64266437.653677,"Храм Апостола Фомы"
55.64266937.728221,"Парк 850 Летия"
55.64283137.58664,"Битцевская тройка"
55.64289737.540516,"Овощи - фрукты"
55.64291137.658118,"Горка Для Детей"
55.64298237.67558,"Баптистская Церковь Воскресенье"
55.64303437.753068,"Игровая Площадка"
55.64314737.466955,"Граффити Дети"
55.64325737.505898,"Московский Университет МВД России"
55.64353637.467313,Тропарёво
55.64384837.766148,"Беседка С Поломанной Крышей"
55.64405137.745896,Anchor
55.64409637.526191,"Transformator House"
55.64415837.496808,Triton
55.64426637.742012,"Детский Дворик"
55.6443137.402384,Dvor
55.64456437.768379,"Беседка С Мангалами"
55.64468337.609442,Стрекоза
55.64484737.488004,"Фонтан Девушка с вином"
55.64489737.466027,"Лесная столовая"
55.6449637.742623,Кораблик
55.64505737.633879,"Водонапорная Башня"
55.6451237.618114,"Memorial Stone"
55.64514837.612935,"Monument "For Valor, Honor and Courage""
55.64518837.601926,Шхуна
55.64531837.545258,"Кони у Стоянки"
55.64544237.406753,Volk
55.64560437.465202,"Граффити Ladybug"
55.64574337.619165,"Памятник Слону"
55.64575637.483194,Цветок
55.64598137.403203,"Божьи Коровки"
55.64598437.472297,"Героям Соцтруда"
55.64598737.497037,Slonik
55.64599437.494824,Будка-1
55.64606937.719183,"Flover Butterfly"
55.64608237.738795,"Детская площадка"
55.64611937.542904,"Букет Цветов"
55.64617237.413802,"Детский Комплекс"
55.64621837.67128,"Синий Кит"
55.64626337.756419,Антей
55.64634737.492612,"РНИМУ им.Н.И.Пирогова"
55.64635337.405093,Graffiti
55.64648537.574889,"Битцевский лес"
55.64665137.653225,Колобок
55.64692437.58587,"Граффити У Пруда "
55.64698137.402983,Bassein
55.64698837.632524,"Царицынский молочный завод"
55.64719137.669237,"1952 Centre"
55.647237.516584,"Kino Vityaz"
55.64727737.764171,"Ханс Кристиан Андерсен"
55.64730937.40459,"Detskij Sad 1880"
55.64733537.754659,"Карусель "
55.64742737.588954,"Local Post Apocalyptic Graffiti"
55.64752437.660977,"School of Art Svyatoslav Richter"
55.6475337.603125,Цветы
55.64763337.409177,"Космическая Площадка"
55.6476937.72777,"кинотеатр 'экран'"
55.64771837.535027,"Ослик Иа"
55.64774537.484674,"Church "
55.64781737.499564,"Tiger Graffiti"
55.64783137.596779,"Graffiti "Pop-Art Parking""
55.64792537.455515,"Грибная семейка"
55.64805637.534746,Piggy
55.64809237.512375,"Sculpture at Bioorganicheski Institute"
55.64810237.724434,"Бутылочный Домик С Лебедями."
55.64832937.747463,"Храм "Утоли моя печали""
55.64833537.7515,"Lebed' and Svinushka"
55.64845837.856967,"Обелиск славы"
55.64869737.710598,"Russian Street Art"
55.64880937.584417,Ромашки
55.64901337.596993,Футболисты
55.64902537.741526,качели
55.64909737.467012,Windfinder
55.64927237.511864,"Yellow Submarine"
55.64930737.408475,Клумба
55.64948437.664367,"Крест на российской науке"
55.64955337.390066,"Памятник Великой Отечественной Войне"
55.64955637.536927,НТЦУП
55.64961237.476012,Пентагон
55.64978437.565293,"Граффити "Берегите Тепло!""
55.64986737.759262,Фенек
55.64996937.466279,Карусель
55.650137.567314,"Луна над горами"
55.65036437.521227,Деревья
55.65042237.65108,"Граффити Ревматизм"
55.65053937.769408,Mari
55.6505737.475896,Истребитель
55.65061337.711004,"Russian Fountain"
55.65065337.769785,Шарики
55.65066737.402921,Горка
55.65090837.55284,"Svetlyachok "
55.65091537.561921,"Обнимающиеся коты"
55.65101637.743788,"м Марьино Северный Выход"
55.65103837.610949,"Alley for New Married"
55.65127637.39222,Церковь
55.65128137.579865,"Маша И Медведь"
55.65131937.521265,Горки
55.65133737.609857,"1812 Mural"
55.65151737.666824,"Реактор ИРТ МИФИ"
55.65152437.698944,"Форт На Детской Площадке"
55.6516337.730813,"Древний Храм знаний для юных"
55.65163537.775759,"Кавалеры Высших Общественных Наград"
55.65168937.580134,"Русалочка и Фландер Граффити"
55.65170937.585198,Зюзино
55.65174637.564271,"Скульптурный Ансамбль "Репка"."
55.65189137.558982,"Памятник Ветеранам 343г"
55.65194737.653804,"Graffiti Chemistry"
55.65196537.524561,Горка
55.65218837.50033,"Фонтан РУДН"
55.65222337.499723,"Российский Университет Дружбы Народов"
55.65237637.582567,Бабочка
55.65240437.528553,"MSK IX"
55.65250637.554152,"Kremlenagrad Pano"
55.65253237.535118,"РНЦ Рентгенорадиологии"
55.65259937.483366,"Salute sculpture"
55.65268337.464233,"Crazy Mushroom"
55.65271537.581225,"Мышь и корова"
55.65294437.746461,Куся
55.65298337.430598,"Вечная Слава Воинам"
55.65313137.518402,"Пушкин А.С."
55.65319237.566334,Слоник
55.65320737.599414,"Хозяйка Медной Горы"
55.6532337.767451,"Красивая Стена"
55.65331137.737435,"Tire Swan"
55.65333837.619146,"Павлин на шоссе"
55.65366937.701941,"ДК Курьяново"
55.65372837.482627,"Boy with Squirrel Sculpture - Moscow"
55.65394237.38684,"Советская Доска Почёта"
55.65397137.60413,"Разноцветная Горка"
55.65405637.762436,"Просто Игровая Площадка"
55.6542537.51375,"Граффити Тёмный Город"
55.65425637.458684,"Храм Птиц"
55.65438237.846899,Berliner
55.65439637.738275,Дино
55.65453337.770532,"Заборчик В Деревне"
55.65455837.62291,Беседка
55.65457137.469393,Мостик
55.65458437.647958,"Метро Каширская"
55.65466137.558742,"Граффити Пруд"
55.65480237.38529,Фонтан
55.65480237.777615,"Наша Энергия Детям "
55.65492637.761194,"Катя трансформаторная будка"
55.65494937.495912,"Храм Веры, Надежды, Любови и матери их Софии"
55.65499637.622363,Коломенское
55.65530837.401193,"Я Люблю Москву!"
55.65532237.400772,Graffiti
55.65535137.481012,"Театр На Юго западе"
55.65538737.649401,"Marshal Zhukov"
55.65552837.762568,Жираф
55.65553337.4726,"Памятник Сантехнику"
55.65557437.538383,"Метро Калужская"
55.65579837.743203,"Памятник Воинам-интернационалистам"
55.65581837.770344,"паравозик у школы"
55.65586837.40907,Фонтан
55.65600637.768902,"Мамонтенок "
55.65602137.494267,"26 Бакинских комиссаров"
55.65608537.637178,"Сторожевая Башня"
55.65610837.767321,"карусель с рулем"
55.65617237.601414,"Слон В Дырочку"
55.65617637.540391,"Kaluzhskiy Mall Western Entrance"
55.6563137.508598,"Бедная овечка"
55.65632437.794763,"Moscow Monument"
55.65635137.845174,"Пешеходный мост между МЕГА-1 и МЕГА-2 Белая дача"
55.65645637.656234,"Императрица Елизавета Петровна"
55.65646837.730253,У-2
55.65653737.704414,"Street Workout"
55.65656337.505099,Площадище
55.6565937.570548,"Большая Гирлянда"
55.65666637.384736,"Solnechnaya Railway Station"
55.65680337.533418,"ДОТ из 1941-го"
55.65688137.600715,"Three Pigs"
55.65700937.472856,Пальмы
55.65713137.842367,"MEGA Mall"
55.65721937.662118,"Van Gogh at Night"
55.65723237.709404,Фонтан
55.65781537.51553,Рыбки
55.65786237.389099,Слоник
55.65795337.39953,"Велики с корзинками"
55.65795437.433962,Утка
55.65798337.723786,Человечек
55.65809737.76224,Беседка
55.65810637.561755,"Красно-желтая Качелька"
55.65816937.660066,"Belive Hope Love"
55.65869737.490891,Фонтан
55.65870137.609955,Стадион
55.65874337.75848,"Розовый Дьявол"
55.65877137.57393,"Steel Flowers"
55.65882937.541701,"Vladimir Semenikhin"
55.65886137.855226,"Памятник Победы"
55.6588937.407087,"Вечная Слава Павшим Воинам 41-45"
55.65892137.471582,Аквалангист
55.65898337.55694,Газпром
55.65911537.749882,"Еще Метро"
55.65941937.517496,Birds
55.65945837.739206,"Фонтан Из Камня"
55.65953537.721194,"Рисунок На Заборчике"
55.65956637.653716,Каляев
55.65969637.624473,"Почта России"
55.65970537.784744,Картинг
55.65978237.607988,"К Родным Берегам "
55.65985437.493046,"Цветастая Регата"
55.65994137.61665,"Почта России На Фруктовой"
55.65995237.757622,"Tulip Ballade Gold"
55.65999437.482588,"Табличка номер три Здесь проходили съемки кинофильма"
55.66007637.879076,"Джинсовый   Слоник"
55.66008537.465063,"Веселая Площадка"
55.66012937.752494,"Метро Братиславская"
55.66016837.592055,Турники
55.66025937.618246,Медвед
55.66031337.848281,Храм
55.66042137.778544,"Русские Леса Рисунок"
55.66044637.515999,"Colored Circles"
55.66049137.588544,"Арка Медведей"
55.6605437.396606,"Солнышко, графити"
55.66077137.5938,Паутина-батут
55.66078437.60065,"Я Тебя Люблю"
55.6608337.630249,"Упрлс Збс"
55.66127737.556596,"District Sign"
55.66145637.447033,Церковь
55.66155937.505476,"Схема Парка!"
55.66158937.704549,"Слава Защитникам родины!"
55.66160737.754214,"Тысячии Их!"
55.6617337.478174,"Chemistry Institute"
55.66177737.559563,"Урбанистический Пейзаж"
55.66177737.585809,"Перевернутый Зонт"
55.6619537.426939,"Dsk3 Skolkovo"
55.66197537.55459,Якорь
55.66202137.575084,"Стремные Медведи"
55.66208137.604387,"Graffiti Flashback"
55.66210537.748212,Граффити
55.66222837.599255,"Клен И Рябина"
55.6622437.868722,"Павшим За Родину"
55.66226837.768331,"Дюссельдорф парк"
55.66228837.483551,"Библиотека #202"
55.66252937.576858,"Time Garden"
55.66261937.52257,Жар-Птица
55.66263937.517942,"Second Butterfly"
55.66274237.47908,Спорт-центр
55.66278337.611779,Парусник
55.66283837.524421,"Memorial to Soviet Soldiers"
55.66288437.520616,"Pink Parrot"
55.66306237.510204,"Rio Shopping Center"
55.66322837.640504,Струков
55.66327837.742024,"Монумент ВОВ"
55.66328937.871077,Фонтан
55.66330537.612923,Zuzino
55.66331737.484809,"Дева Мира"
55.66370337.520247,Fountain
55.66380537.847822,"Хоккейная коробка"
55.66381937.774803,"Старенький Гриб"
55.66391537.532487,"NY Gratify"
55.66392437.761175,Смоленск
55.66393437.504861,"Карта Парка"
55.66403737.668694,Храм
55.66416337.598927,"Три Башни"
55.66423437.479587,"Граффити - "БОЛЬ шая""
55.66424137.602017,"Social Art"
55.66424937.751255,"Честный Крест"
55.66435337.468152,Гусеница
55.6643937.665032,"Лестница Над Ручейком"
55.66463737.648604,"Почтовое Отделение 115446"
55.66475837.468947,"Улица Покрышкина"
55.66481537.576563,"Граффити Ваза"
55.66482237.857279,Фонтан
55.66486337.527967,Мечеть
55.66491837.772031,"Niabu 13"
55.66507537.489165,"Гребанные Ниантики Любят Площадки"
55.66513937.747522,"Flower Portal"
